locality,biden,trump,biden_pct,trump_pct,youngkin,mcauliffe,pct_youngkin,pct_mcauliffe,youngkin_overperform,youngkin_overperform_morethan5
ROANOKE CITY,26773,15607,61.8,36.02,12024,16817,41.25,57.7,5.229999999999997,Yes
ROCKBRIDGE COUNTY,4086,8088,33.02,65.37,6906,3071,68.89,30.64,3.519999999999996,No
ROCKINGHAM COUNTY,12644,30349,28.86,69.27,26765,8569,75.31,24.110000000000003,6.040000000000006,Yes
RUSSELL COUNTY,2373,10879,17.73,81.27,8229,1452,84.83,14.97,3.5600000000000023,No
SALEM CITY,5148,7683,39.45,58.87,6144,3344,64.29,34.99,5.420000000000009,Yes
SCOTT COUNTY,1692,9063,15.57,83.38,7065,1034,86.89,12.719999999999999,3.510000000000005,No
SHENANDOAH COUNTY,6836,16463,28.86,69.51,13693,4535,74.64,24.72,5.1299999999999955,Yes
SMYTH COUNTY,3008,10963,21.28,77.55,8477,1751,82.55,17.05,5,No
SOUTHAMPTON COUNTY,3969,5730,40.56,58.55,5084,2717,64.9,34.68,6.3500000000000085,Yes
SPOTSYLVANIA COUNTY,34307,39411,45.55,52.33,32478,21426,59.839999999999996,39.47,7.509999999999998,Yes
STAFFORD COUNTY,40245,37636,50.54,47.27,31680,25463,55,44.2,7.729999999999997,Yes
STAUNTON CITY,6981,5695,53.74,43.84,4640,5004,47.49,51.21,3.6499999999999986,No
SUFFOLK CITY,28676,20082,57.77,40.45,17351,19079,47.260000000000005,51.96,6.810000000000002,Yes
SURRY COUNTY,2397,2025,53.61,45.29,1768,1756,50,49.660000000000004,4.710000000000001,No
SUSSEX COUNTY,2827,2219,55.56,43.61,1973,2028,49.02,50.39,5.410000000000004,Yes
TAZEWELL COUNTY,3205,16731,15.92,83.1,12045,1821,86.59,13.09,3.490000000000009,No
VIRGINIA BEACH CITY,117393,105087,51.59,46.18,86973,73965,53.620000000000005,45.6,7.440000000000005,Yes
WARREN COUNTY,6603,14069,31.22,66.53,11294,4328,71.85,27.53,5.319999999999993,Yes
WASHINGTON COUNTY,6617,21679,23.07,75.58,17395,4505,79.08,20.479999999999997,3.5,No
WAYNESBORO CITY,4961,5507,46.29,51.39,4473,3275,56.94,41.690000000000005,5.549999999999997,Yes
WESTMORELAND COUNTY,4501,5318,45.31,53.54,4614,2971,60.55,38.99,7.009999999999998,Yes
WILLIAMSBURG CITY,4790,1963,69.59,28.52,1703,3185,34.54,64.59,6.02,Yes
WINCHESTER CITY,6610,5221,54.6,43.13,4137,4294,48.690000000000005,50.54,5.560000000000002,Yes
WISE COUNTY,3110,13366,18.72,80.45,9691,1796,83.9,15.55,3.450000000000003,No
WYTHE COUNTY,3143,11733,20.85,77.85,9458,2043,81.78,17.67,3.930000000000007,No
YORK COUNTY,17683,20241,45.59,52.19,17485,12190,58.59,40.849999999999994,6.400000000000006,Yes
